date,price,open,max,min,volume,change
2022-12-16,79.49,81.44,81.87,78.76,236.09,-2.25
2022-12-15,81.32,82.84,83.18,80.92,162.08,-1.73
2022-12-14,82.75,80.53,83.22,80.31,178.26,2.34
2022-12-13,80.86,78.53,81.34,78.41,201.46,3.22
2022-12-12,78.34,77.34,78.89,75.67,158.37,2.27
2022-12-09,76.6,77.15,77.81,75.64,157.0,0.01
2022-12-08,76.59,77.9,79.49,76.19,209.68,-1.29
2022-12-07,77.59,80.07,80.79,77.32,207.04,-2.61
2022-12-06,79.67,83.19,83.69,79.05,225.87,-3.62
2022-12-05,82.66,85.7,88.2,82.53,193.04,-3.38
2022-12-02,85.55,86.69,87.68,85.17,141.36,-1.53
2022-12-01,86.88,86.78,89.37,86.26,229.13,1.7
2022-11-30,85.43,83.77,85.67,83.61,9.05,2.89
2022-11-29,83.03,82.41,86.0,82.39,67.93,-0.19
2022-11-28,83.19,83.58,84.1,80.61,102.56,-0.53
2022-11-25,83.63,85.5,86.87,83.59,85.31,-2.0
2022-11-24,85.34,85.04,85.54,83.9,75.61,-0.08
2022-11-23,85.41,88.47,89.56,84.12,212.14,-3.34
2022-11-22,88.36,87.76,89.9,87.35,190.85,1.04
2022-11-21,87.45,87.74,87.98,82.31,354.6,-0.19
2022-11-18,87.62,90.1,90.63,85.8,379.66,-2.41
2022-11-17,89.78,92.73,92.91,89.53,313.53,-3.32
2022-11-16,92.86,94.11,94.79,91.67,257.62,-1.07
2022-11-15,93.86,92.59,95.77,91.53,317.5,0.77
2022-11-14,93.14,95.87,96.95,92.5,248.25,-2.97
2022-11-11,95.99,93.84,96.92,93.69,238.07,2.48
2022-11-10,93.67,92.53,94.32,91.73,278.53,1.1
2022-11-09,92.65,95.17,95.65,92.33,308.02,-2.84
2022-11-08,95.36,98.24,98.3,95.0,251.67,-2.61
2022-11-07,97.92,97.31,99.56,96.5,241.94,-0.66
2022-11-04,98.57,94.58,98.81,94.33,307.09,4.12
2022-11-03,94.67,95.36,95.98,94.19,229.12,-1.55
2022-11-02,96.16,94.85,96.5,94.01,253.0,1.6
2022-11-01,94.65,92.67,95.55,92.33,247.65,-0.19
2022-10-31,94.83,96.47,96.47,94.25,15.0,-0.98
2022-10-28,95.77,96.58,96.89,94.96,89.94,-1.23
2022-10-27,96.96,96.05,97.27,95.07,84.57,1.33
2022-10-26,95.69,92.91,96.25,92.06,138.0,4.31
2022-10-25,91.74,91.4,92.48,89.75,222.2,0.58
2022-10-24,91.21,91.23,92.3,89.01,178.75,-0.14
2022-10-21,91.34,90.48,91.72,89.17,181.51,0.98
2022-10-20,90.45,90.47,92.66,90.01,211.69,-0.12
2022-10-19,90.56,89.31,90.95,87.9,260.25,2.21
2022-10-18,88.6,90.53,91.22,87.52,247.36,-1.75
2022-10-17,90.18,90.2,91.79,89.49,163.34,0.03
2022-10-14,90.15,92.81,93.45,89.81,153.89,-4.67
2022-10-13,94.57,92.49,94.92,91.08,280.52,2.29
2022-10-12,92.45,93.72,95.17,91.56,257.66,-1.95
2022-10-11,94.29,95.93,96.46,93.11,259.03,-1.98
2022-10-10,96.19,98.75,98.75,95.6,215.37,-1.77
2022-10-07,97.92,94.71,98.58,93.94,269.4,3.71
2022-10-06,94.42,93.71,94.98,92.72,207.53,1.12
2022-10-05,93.37,91.89,93.96,90.76,296.2,1.71
2022-10-04,91.8,88.81,92.4,88.78,282.38,3.31
2022-10-03,88.86,86.35,89.82,86.35,270.69,1.02
2022-09-30,87.96,88.53,89.8,87.69,5.89,-0.6
2022-09-29,88.49,88.97,90.12,87.33,57.86,-0.93
2022-09-28,89.32,86.14,89.47,84.26,74.33,5.24
2022-09-27,84.87,82.84,85.84,82.81,252.52,2.43
2022-09-26,82.86,85.54,86.45,82.44,257.04,-2.55
2022-09-23,85.03,89.57,89.88,84.55,304.2,-5.03
2022-09-22,89.53,88.83,91.74,88.28,219.29,0.82
2022-09-21,88.8,89.57,92.23,88.31,247.64,-0.67
2022-09-20,89.4,90.85,91.57,88.56,209.16,-2.83
2022-09-19,92.0,91.43,92.57,88.5,138.53,0.71
2022-09-16,91.35,90.51,92.66,90.25,197.48,0.56
2022-09-15,90.84,94.65,94.66,90.03,257.62,-3.46
2022-09-14,94.1,93.4,95.8,91.93,259.9,1.0
2022-09-13,93.17,94.31,95.53,91.05,275.17,-0.88
2022-09-12,94.0,92.54,95.17,91.21,210.43,1.25
2022-09-09,92.84,88.62,93.12,88.6,202.94,4.76
2022-09-08,88.62,87.98,89.82,87.25,,0.7
2022-09-07,88.0,92.81,93.8,87.4,300.2,-5.2
2022-09-06,92.83,95.19,95.94,92.3,225.95,-3.04
2022-09-05,95.74,93.02,96.99,93.02,144.26,2.92
2022-09-02,93.02,92.66,95.32,92.65,210.0,0.71
2022-09-01,92.36,95.18,95.68,91.81,297.55,-4.28
2022-08-31,96.49,99.79,100.46,95.44,10.07,-1.38
2022-08-30,97.84,102.88,103.48,96.63,356.1,-4.95
2022-08-29,102.93,98.96,103.22,98.25,211.63,3.96
2022-08-26,99.01,98.95,100.1,96.96,277.48,0.56
2022-08-25,98.46,100.79,101.53,98.23,223.98,-1.87
2022-08-24,100.34,99.3,100.89,98.27,233.92,1.18
2022-08-23,99.17,96.0,99.41,95.81,198.99,3.51
2022-08-22,95.81,95.36,96.66,92.0,186.81,-0.94
2022-08-19,96.72,96.68,97.88,94.25,178.6,0.13
2022-08-18,96.59,93.29,97.42,93.05,208.55,3.14
2022-08-17,93.65,92.67,94.48,91.51,199.19,1.42
2022-08-16,92.34,94.01,95.95,91.71,217.75,-2.9
2022-08-15,95.1,97.72,98.17,92.78,217.57,-3.11
2022-08-12,98.15,99.33,100.38,96.94,188.13,-1.46
2022-08-11,99.6,97.04,100.17,96.63,219.42,2.26
2022-08-10,97.4,96.34,97.97,93.63,247.74,1.13
2022-08-09,96.31,96.36,98.4,94.9,219.67,-0.35
2022-08-08,96.65,94.51,96.82,93.01,201.25,1.82
2022-08-05,94.92,93.65,96.4,92.78,216.2,0.85
2022-08-04,94.12,97.1,97.66,93.2,264.81,-2.75
2022-08-03,96.78,99.73,102.41,96.5,293.11,-3.74
2022-08-02,100.54,99.87,102.41,98.49,229.68,0.51
2022-08-01,100.03,103.92,104.43,99.09,272.84,-9.07
2022-07-29,110.01,108.0,110.67,106.9,9.13,2.68
2022-07-28,107.14,107.31,109.06,106.0,80.84,0.49
2022-07-27,106.62,104.75,107.86,103.73,77.69,2.13
2022-07-26,104.4,104.73,107.34,103.99,110.0,-0.71
2022-07-25,105.15,103.85,105.38,101.64,123.67,1.89
2022-07-22,103.2,103.86,105.72,101.9,137.24,-0.64
2022-07-21,103.86,106.49,106.78,101.5,228.7,-2.86
2022-07-20,106.92,107.07,107.45,105.08,186.7,-0.4
2022-07-19,107.35,105.74,107.61,103.6,226.4,1.02
2022-07-18,106.27,100.82,106.48,99.46,213.5,5.05
2022-07-15,101.16,99.91,102.64,98.17,218.09,2.08
2022-07-14,99.1,99.43,100.39,94.5,318.79,-0.47
2022-07-13,99.57,98.5,101.21,98.28,247.47,0.08
2022-07-12,99.49,106.25,106.56,98.9,275.62,-7.11
2022-07-11,107.1,107.0,107.7,103.64,194.66,0.07
2022-07-08,107.02,104.65,107.47,103.67,238.35,2.26
2022-07-07,104.65,100.14,106.35,98.5,279.66,3.93
2022-07-06,100.69,104.88,105.85,98.5,350.3,-2.02
2022-07-05,102.77,113.54,114.75,101.1,428.84,-9.45
2022-07-04,113.5,111.65,114.0,110.4,100.59,1.68
2022-07-01,111.63,109.49,112.45,108.03,235.42,-2.77
2022-06-30,114.81,116.01,116.67,114.22,7.11,-1.25
2022-06-29,116.26,117.96,120.41,115.2,54.34,-1.46
2022-06-28,117.98,115.74,118.27,115.72,65.76,2.51
2022-06-27,115.09,112.92,116.08,111.26,118.1,1.74
2022-06-24,113.12,110.04,114.0,109.24,134.18,2.79
2022-06-23,110.05,109.58,112.7,108.04,195.92,-1.51
2022-06-22,111.74,114.4,114.45,107.03,293.05,-2.54
2022-06-21,114.65,114.21,116.25,114.02,204.03,0.46
2022-06-20,114.13,113.88,114.5,111.52,161.6,0.89
2022-06-17,113.12,119.13,121.25,111.72,319.91,-5.58
2022-06-16,119.81,119.65,120.29,115.56,276.68,1.1
2022-06-15,118.51,120.79,121.88,117.75,231.06,-2.2
2022-06-14,121.17,121.88,125.19,118.91,291.26,-0.9
2022-06-13,122.27,121.94,123.7,118.93,257.11,0.21
2022-06-10,122.01,122.89,124.33,119.81,294.28,-0.86
2022-06-09,123.07,123.6,124.34,122.5,218.98,-0.41
2022-06-08,123.58,120.65,124.4,120.45,256.29,2.5
2022-06-07,120.57,119.94,121.37,118.55,276.72,0.89
2022-06-06,119.51,121.55,121.95,118.77,204.09,-0.18
2022-06-03,119.72,118.22,121.45,116.02,141.66,1.79
2022-06-02,117.61,115.02,118.46,112.45,216.9,1.14
2022-06-01,116.29,116.08,118.57,115.4,242.16,-5.33
2022-05-31,122.84,122.2,125.28,121.6,11.56,0.96
2022-05-30,121.67,119.28,122.01,118.98,42.41,1.88
2022-05-27,119.43,117.52,119.72,116.63,81.16,1.73
2022-05-26,117.4,114.35,118.0,113.85,123.58,2.96
2022-05-25,114.03,114.12,115.3,113.01,152.33,0.41
2022-05-24,113.56,112.79,114.63,111.7,191.73,0.12
2022-05-23,113.42,112.85,114.34,111.86,196.51,0.77
2022-05-20,112.55,111.45,113.23,110.52,180.89,0.46
2022-05-19,112.04,108.22,112.31,105.7,272.35,2.69
2022-05-18,109.11,112.91,114.15,108.35,245.04,-2.52
2022-05-17,111.93,114.42,115.69,111.09,277.89,-2.02
2022-05-16,114.24,111.67,114.79,108.84,218.44,2.41
2022-05-13,111.55,108.25,111.69,107.79,220.32,3.82
2022-05-12,107.45,107.67,108.71,104.69,264.26,-0.06
2022-05-11,107.51,101.51,108.29,101.3,287.53,4.93
2022-05-10,102.46,105.5,106.96,101.54,327.99,-3.28
2022-05-09,105.94,112.94,113.2,105.0,302.17,-5.74
2022-05-06,112.39,111.27,113.5,109.87,249.83,1.34
2022-05-05,110.9,110.55,114.0,109.2,279.88,0.69
2022-05-04,110.14,105.91,111.0,105.46,241.68,4.93
2022-05-03,104.97,107.61,108.32,104.62,184.2,-2.43
2022-05-02,107.58,106.3,108.46,103.1,151.34,-1.61
2022-04-29,109.34,107.55,110.3,107.0,12.02,1.63
2022-04-28,107.59,104.96,108.0,103.29,73.32,2.16
2022-04-27,105.32,105.45,106.33,103.27,67.06,0.31
2022-04-26,104.99,102.53,106.2,101.08,138.2,2.61
2022-04-25,102.32,105.49,105.85,99.48,156.35,-4.06
2022-04-22,106.65,108.26,108.76,105.54,125.87,-1.55
2022-04-21,108.33,107.07,109.8,106.76,185.38,1.43
2022-04-20,106.8,108.1,109.0,104.65,243.67,-0.42
2022-04-19,107.25,112.85,114.21,106.74,239.91,-5.22
2022-04-18,113.16,112.32,114.84,110.71,132.15,1.31
2022-04-14,111.7,108.29,112.39,106.63,210.18,2.68
2022-04-13,108.78,105.44,109.0,104.06,247.26,3.96
2022-04-12,104.64,99.35,105.6,98.9,273.95,6.26
2022-04-11,98.48,103.21,103.3,97.57,238.69,-4.18
2022-04-08,102.78,101.42,103.3,99.65,217.64,2.19
2022-04-07,100.58,101.78,103.59,98.41,296.03,-0.48
2022-04-06,101.07,105.7,108.67,100.54,286.52,-5.22
2022-04-05,106.64,108.51,109.9,104.53,203.06,-0.83
2022-04-04,107.53,104.08,108.68,102.89,218.68,3.01
2022-04-01,104.39,105.25,106.24,102.35,238.62,-3.26
2022-03-31,107.91,112.81,112.94,106.5,8.68,-4.88
2022-03-30,113.45,112.0,114.8,110.74,72.33,2.92
2022-03-29,110.23,110.1,114.83,104.84,93.68,-2.0
2022-03-28,112.48,119.9,119.9,109.06,150.82,-6.77
2022-03-25,120.65,118.88,120.92,115.16,133.46,1.36
2022-03-24,119.03,121.56,123.74,116.93,177.66,-2.11
2022-03-23,121.6,114.7,122.34,114.45,224.53,5.3
2022-03-22,115.48,117.04,119.48,112.64,204.66,-0.12
2022-03-21,115.62,107.5,116.8,107.06,196.49,7.12
2022-03-18,107.93,106.8,109.59,105.78,168.91,1.21
2022-03-17,106.64,98.61,107.5,97.75,200.95,8.79
2022-03-16,98.02,99.14,103.7,96.93,246.82,-1.89
2022-03-15,99.91,105.34,105.71,97.44,318.12,-6.54
2022-03-14,106.9,113.15,113.15,103.49,265.91,-5.12
2022-03-11,112.67,110.26,113.91,107.13,287.39,3.05
2022-03-10,109.33,112.65,118.36,109.0,352.34,-1.63
2022-03-09,111.14,130.28,131.64,105.6,521.58,-13.16
2022-03-08,127.98,124.56,133.15,121.31,469.99,3.87
2022-03-07,123.21,122.79,139.13,119.04,419.93,4.32
2022-03-04,118.11,114.23,118.98,109.62,334.41,6.93
2022-03-03,110.46,115.27,119.84,109.4,452.52,-2.19
2022-03-02,112.93,107.34,115.11,106.83,490.57,7.58
2022-03-01,104.97,98.43,107.67,98.3,492.51,3.94
2022-02-28,100.99,101.98,105.07,99.64,22.96,3.12
2022-02-25,97.93,100.69,101.99,96.0,68.98,-1.16
2022-02-24,99.08,98.08,105.79,97.56,167.79,2.31
2022-02-23,96.84,96.65,98.71,95.81,238.63,0.0
2022-02-22,96.84,96.55,99.5,95.8,316.38,1.52
2022-02-21,95.39,94.29,97.4,92.57,217.04,1.98
2022-02-18,93.54,92.73,94.15,90.12,348.35,0.61
2022-02-17,92.97,92.2,94.5,92.14,347.79,-1.94
2022-02-16,94.81,93.49,96.07,91.11,393.79,1.64
2022-02-15,93.28,95.81,96.26,92.06,378.25,-3.32
2022-02-14,96.48,95.2,96.78,93.44,373.09,2.16
2022-02-11,94.44,91.17,95.66,90.51,452.11,3.31
2022-02-10,91.41,91.75,93.1,90.88,369.01,-0.15
2022-02-09,91.55,91.08,92.09,90.05,294.0,0.85
2022-02-08,90.78,92.63,92.93,89.93,368.55,-2.06
2022-02-07,92.69,92.75,94.0,92.13,317.29,-0.62
2022-02-04,93.27,91.3,93.7,91.2,322.13,2.37
2022-02-03,91.11,89.07,91.3,88.02,301.79,1.83
2022-02-02,89.47,89.48,90.52,88.28,319.43,0.35
2022-02-01,89.16,89.62,89.96,87.72,271.77,-2.25
2022-01-31,91.21,90.8,91.48,90.61,11.01,1.31
2022-01-28,90.03,89.98,91.7,89.41,102.01,0.77
2022-01-27,89.34,89.7,91.04,89.0,131.7,-0.69
2022-01-26,89.96,87.95,90.47,87.79,260.11,2.0
2022-01-25,88.2,86.76,88.37,86.2,256.21,2.24
2022-01-24,86.27,87.93,88.9,85.04,309.89,-1.84
