date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2021-06-04,98.6,98.6,98.6,98.6,0.0,0,0
2021-06-07,98.6,99.55,98.6,98.776,0.0,0,0
2021-06-08,98.75,98.75,98.749,98.749,0.0,0,0
2021-06-09,98.78,98.78,98.78,98.78,0.0,0,0
2021-06-10,98.78,98.78,98.78,98.78,0.0,0,0
2021-06-11,97.411,99.549,97.41,98.78,0.0,0,0
2021-06-14,98.78,98.78,98.6,98.6,0.0,0,0
2021-06-15,99.548,99.548,98.6,98.6,0.0,0,0
2021-06-16,98.78,98.78,98.6,98.6,0.0,0,0
2021-06-17,98.78,98.78,98.78,98.78,0.0,0,0
2021-06-18,98.65,98.65,98.65,98.65,0.0,0,0
2021-06-21,98.73,98.731,98.73,98.731,0.0,0,0
2021-06-22,98.55,98.55,98.55,98.55,0.0,0,0
2021-06-23,99.549,99.549,99.549,99.549,0.0,0,0
2021-06-24,97.411,98.73,97.411,98.73,0.0,0,0
2021-06-25,98.73,98.73,98.73,98.73,0.0,0,0
2021-06-28,98.55,98.729,98.55,98.729,0.0,0,0
2021-06-29,99.54,99.54,98.73,98.73,0.0,0,0
2021-06-30,98.75,98.75,98.73,98.73,0.0,0,0
2021-07-05,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-06,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-07,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-08,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-12,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-13,98.55,98.55,98.55,98.55,0.0,0,0
2021-07-14,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-19,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-21,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-22,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-23,98.73,98.73,98.73,98.73,0.0,0,0
2021-07-26,98.73,98.73,98.55,98.728,0.0,0,0
2021-07-27,98.729,98.729,98.42,98.42,0.0,0,0
2021-07-28,98.35,98.499,98.35,98.499,1000.0,5.03,12.53
2021-07-29,98.499,98.499,98.191,98.191,0.0,0,0
2021-07-30,98.25,98.4,98.25,98.4,0.0,0,0
2021-08-03,98.3,98.3,98.201,98.201,0.0,0,0
2021-08-04,98.499,98.499,98.499,98.499,0.0,0,0
2021-08-05,99.549,99.549,97.41,99.549,0.0,0,0
2021-08-06,98.4,98.4,98.25,98.4,0.0,0,0
2021-08-10,98.251,98.251,98.251,98.251,0.0,0,0
2021-08-11,98.447,98.447,98.447,98.447,0.0,0,0
2021-08-13,98.449,98.449,98.25,98.25,0.0,0,0
2021-08-16,98.2,98.2,98.01,98.01,0.0,0,0
2021-08-19,98.248,98.248,98.248,98.248,0.0,0,0
2021-08-20,99.549,99.549,99.549,99.549,0.0,0,0
2021-08-23,98.151,98.151,98.15,98.15,0.0,0,0
2021-08-24,98.199,98.199,98.199,98.199,0.0,0,0
2021-08-26,98.248,98.248,98.248,98.248,0.0,0,0
2021-08-30,98.2,98.2,98.2,98.2,0.0,0,0
2021-08-31,97.911,98.28,97.908,97.908,0.0,0,0
2021-09-02,98.001,98.199,98.001,98.199,0.0,0,0
2021-09-03,98.299,98.299,98.299,98.299,0.0,0,0
2021-09-06,98.2,98.2,98.2,98.2,0.0,0,0
2021-09-07,98.299,98.299,97.91,97.91,0.0,0,0
2021-09-08,98.2,98.2,98.2,98.2,0.0,0,0
2021-09-10,97.96,98.35,97.96,98.35,0.0,0,0
2021-09-13,98.15,98.15,98.15,98.15,0.0,0,0
2021-09-14,98.55,98.55,98.201,98.201,0.0,0,0
2021-09-16,98.27,98.399,98.23,98.399,0.0,0,0
2021-09-17,98.101,98.101,98.1,98.1,0.0,0,0
2021-09-20,98.201,98.201,98.201,98.201,0.0,0,0
2021-09-21,99.549,99.549,98.101,98.101,0.0,0,0
2021-09-23,98.1,98.1,98.1,98.1,0.0,0,0
2021-09-27,98.25,98.25,98.25,98.25,0.0,0,0
2021-09-29,98.27,98.27,98.27,98.27,0.0,0,0
2021-10-01,98.398,98.5,98.398,98.5,0.0,0,0
2021-10-04,98.25,98.25,98.25,98.25,0.0,0,0
2021-10-05,98.102,98.152,98.102,98.152,0.0,0,0
2021-10-11,98.25,98.25,98.25,98.25,0.0,0,0
2021-10-19,98.37,98.37,98.37,98.37,0.0,0,0
2021-10-20,98.206,98.206,98.206,98.206,0.0,0,0
2021-10-21,98.256,98.38,98.202,98.252,0.0,0,0
2021-10-22,98.38,98.38,98.38,98.38,0.0,0,0
2021-10-25,98.38,98.38,98.301,98.38,0.0,0,0
2021-10-29,98.201,98.201,98.201,98.201,0.0,0,0
2021-11-01,98.2,98.2,98.2,98.2,0.0,0,0
2021-11-02,98.38,98.38,98.38,98.38,0.0,0,0
2021-11-03,98.351,98.38,98.201,98.38,0.0,0,0
2021-11-05,98.38,98.38,98.38,98.38,0.0,0,0
2021-11-08,99.549,99.549,98.38,98.38,0.0,0,0
2021-11-09,98.38,98.38,98.38,98.38,0.0,0,0
2021-11-10,98.202,98.202,98.2,98.2,0.0,0,0
2021-11-11,98.252,98.43,98.15,98.43,0.0,0,0
2021-11-12,98.32,98.4,98.32,98.32,0.0,0,0
2021-11-15,98.32,98.35,98.32,98.32,0.0,0,0
2021-11-16,98.4,98.4,98.32,98.32,0.0,0,0
2021-11-17,98.3,98.3,98.3,98.3,0.0,0,0
2021-11-18,98.4,98.4,98.35,98.35,0.0,0,0
2021-11-22,98.28,98.4,98.28,98.33,0.0,0,0
2021-11-23,98.32,98.4,98.32,98.32,0.0,0,0
2021-11-24,98.4,98.4,98.4,98.4,0.0,0,0
2021-11-25,98.4,98.4,98.32,98.4,0.0,0,0
2021-11-26,98.4,98.4,98.32,98.4,0.0,0,0
2021-11-29,98.32,98.48,98.32,98.48,0.0,0,0
2021-11-30,98.549,98.55,98.549,98.55,0.0,0,0
2021-12-01,98.48,98.48,98.48,98.48,0.0,0,0
2021-12-03,98.48,98.48,98.48,98.48,0.0,0,0
2021-12-06,98.48,98.48,98.35,98.35,0.0,0,0
2021-12-08,98.401,98.579,98.4,98.401,0.0,0,0
2021-12-09,98.67,98.67,98.649,98.649,0.0,0,0
2021-12-13,98.401,98.401,98.4,98.4,0.0,0,0
2021-12-14,97.603,98.0,97.603,98.0,0.0,0,0
2021-12-15,98.6,98.6,98.4,98.4,0.0,0,0
2021-12-16,98.579,98.999,98.579,98.59,0.0,0,0
2021-12-17,98.579,98.632,98.579,98.632,0.0,0,0
2021-12-20,98.631,98.631,98.629,98.63,0.0,0,0
2021-12-21,98.45,98.45,98.45,98.45,0.0,0,0
2021-12-22,98.55,98.629,98.55,98.629,0.0,0,0
2021-12-23,98.63,98.63,98.629,98.629,0.0,0,0
2021-12-27,100.899,100.899,98.55,98.63,0.0,0,0
2021-12-28,98.63,98.631,98.63,98.631,0.0,0,0
2021-12-29,98.63,98.63,98.452,98.452,0.0,0,0
2021-12-30,98.7,98.8,98.7,98.8,0.0,0,0
2022-01-03,98.8,98.96,98.8,98.96,0.0,0,0
2022-01-04,98.799,99.0,98.799,99.0,0.0,0,0
2022-01-05,99.041,100.547,99.04,99.04,0.0,0,0
2022-01-06,98.89,98.89,98.89,98.89,0.0,0,0
2022-01-10,98.749,98.75,98.621,98.75,0.0,0,0
2022-01-11,98.75,98.75,98.621,98.75,0.0,0,0
2022-01-12,98.602,98.602,98.602,98.602,0.0,0,0
2022-01-13,98.651,98.651,98.501,98.501,0.0,0,0
2022-01-14,98.551,98.591,98.55,98.59,0.0,0,0
2022-01-17,98.748,98.748,98.591,98.591,0.0,0,0
2022-01-18,98.59,98.59,98.5,98.5,0.0,0,0
2022-01-19,98.5,98.5,98.5,98.5,0.0,0,0
2022-01-20,98.62,98.62,98.619,98.619,0.0,0,0
2022-01-21,98.5,98.622,98.5,98.622,0.0,0,0
2022-01-24,98.62,98.62,98.57,98.57,0.0,0,0
2022-01-25,98.55,98.55,98.55,98.55,0.0,0,0
2022-01-26,98.545,98.545,98.48,98.5,1000.0,7.56,18.85
2022-01-27,98.525,98.525,98.3,98.3,0.0,0,0
2022-01-28,98.249,98.25,98.249,98.25,0.0,0,0
2022-01-31,98.2,98.25,98.2,98.25,0.0,0,0
2022-02-01,98.121,98.121,98.121,98.121,0.0,0,0
2022-02-03,98.2,98.2,98.2,98.2,0.0,0,0
2022-02-04,98.349,98.349,98.349,98.349,0.0,0,0
2022-02-07,98.35,98.35,98.35,98.35,0.0,0,0
2022-02-08,102.167,102.167,102.167,102.167,0.0,0,0
2022-02-09,98.17,98.17,98.17,98.17,0.0,0,0
2022-02-10,98.2,98.399,98.17,98.399,0.0,0,0
2022-02-11,98.24,98.24,98.24,98.24,0.0,0,0
2022-02-14,98.061,98.399,98.01,98.01,0.0,0,0
2022-02-15,98.19,98.19,98.19,98.19,0.0,0,0
2022-02-16,98.28,98.28,98.19,98.19,0.0,0,0
2022-02-21,98.22,98.22,98.04,98.04,0.0,0,0
2022-02-22,98.0,98.0,98.0,98.0,0.0,0,0
2022-02-24,93.973,97.0,93.973,96.5,0.0,0,0
2022-02-25,97.5,97.5,97.0,97.35,0.0,0,0
2022-03-21,99.499,99.499,98.0,99.486,0.0,0,0
2022-03-22,98.999,98.999,98.101,98.899,0.0,0,0
2022-03-23,98.897,98.897,98.89,98.89,0.0,0,0
2022-03-24,98.25,99.0,98.25,98.9,0.0,0,0
2022-03-25,98.9,98.9,98.35,98.899,0.0,0,0
2022-03-28,98.7,98.7,98.7,98.7,0.0,0,0
2022-03-29,102.688,102.688,98.552,98.552,0.0,0,0
2022-03-30,98.502,99.0,98.499,99.0,0.0,0,0
2022-03-31,98.8,98.9,98.6,98.85,0.0,0,0
2022-04-01,98.501,98.8,98.5,98.8,0.0,0,0
2022-04-04,98.5,98.8,98.5,98.8,0.0,0,0
2022-04-05,98.501,98.501,98.5,98.501,0.0,0,0
2022-04-06,98.5,99.4,98.5,99.4,0.0,0,0
2022-04-08,98.749,98.75,98.749,98.75,0.0,0,0
2022-04-11,99.149,99.149,98.75,98.75,0.0,0,0
2022-04-12,98.579,98.579,98.504,98.504,0.0,0,0
2022-04-13,98.501,98.501,98.501,98.501,0.0,0,0
2022-04-15,99.096,99.099,99.096,99.099,0.0,0,0
2022-04-18,98.798,98.798,98.798,98.798,0.0,0,0
2022-04-19,98.88,98.88,98.61,98.61,0.0,0,0
2022-04-20,98.679,98.679,98.5,98.5,0.0,0,0
2022-04-21,98.9,98.9,98.451,98.6,0.0,0,0
2022-04-22,98.896,98.897,98.739,98.741,0.0,0,0
2022-04-25,98.7,98.75,98.6,98.7,0.0,0,0
2022-04-26,98.75,98.9,98.52,98.6,0.0,0,0
2022-04-27,98.6,98.607,98.55,98.55,1000.0,14.73,36.72
2022-04-28,98.9,98.9,98.501,98.501,0.0,0,0
2022-04-29,98.579,98.6,98.5,98.5,0.0,0,0
2022-05-04,98.746,98.746,98.45,98.55,0.0,0,0
2022-05-05,98.57,98.57,98.45,98.45,0.0,0,0
2022-05-06,98.45,98.599,98.45,98.599,0.0,0,0
2022-05-11,98.45,98.598,98.45,98.598,0.0,0,0
2022-05-12,98.798,98.798,98.42,98.599,0.0,0,0
2022-05-13,98.59,98.8,98.451,98.64,0.0,0,0
2022-05-16,98.887,98.887,98.6,98.7,0.0,0,0
2022-05-17,98.6,98.66,98.559,98.6,0.0,0,0
2022-05-18,98.401,98.9,98.401,98.7,0.0,0,0
