date,CLOSE,OPEN,HIGH,LOW
2021-07-14,3832.85,3851.16,3862.73,3829.59
2021-07-15,3799.97,3826.45,3832.5,3789.31
2021-07-16,3770.15,3795.03,3812.49,3756.01
2021-07-19,3693.42,3743.97,3744.27,3679.79
2021-07-20,3704.4,3707.23,3719.09,3679.44
2021-07-21,3722.96,3718.92,3738.33,3701.95
2021-07-22,3754.44,3746.35,3758.58,3724.29
2021-07-23,3734.54,3760.33,3767.4,3724.74
2021-07-26,3750.1,3724.2,3755.52,3710.14
2021-07-27,3733.1,3756.79,3762.89,3733.1
2021-07-28,3782.28,3747.25,3782.28,3743.46
2021-07-29,3804.33,3794.4,3806.83,3789.57
2021-07-30,3771.58,3789.33,3793.4,3759.83
2021-08-02,3788.1,3791.22,3801.24,3781.43
2021-08-03,3793.69,3782.41,3797.3,3771.8
2021-08-04,3810.62,3808.44,3814.63,3795.75
2021-08-05,3833.75,3803.91,3833.81,3801.16
2021-08-06,3805.36,3836.49,3837.35,3802.44
2021-08-09,3835.11,3795.48,3839.72,3790.63
2021-08-10,3862.32,3847.12,3867.09,3843.42
2021-08-11,3877.37,3875.23,3886.78,3856.61
2021-08-12,3888.86,3879.01,3897.92,3877.23
2021-08-13,3873.0,3882.62,3895.05,3866.67
2021-08-16,3895.31,3862.32,3896.96,3855.62
2021-08-17,3943.01,3893.85,3944.37,3893.44
2021-08-18,3925.17,3948.43,3949.07,3912.24
2021-08-19,3853.98,3883.2,3883.42,3841.15
2021-08-20,3832.7,3868.79,3871.43,3826.27
2021-08-23,3883.01,3861.99,3884.51,3856.21
2021-08-24,3888.87,3897.56,3904.99,3864.37
2021-08-25,3886.64,3891.8,3895.62,3868.64
2021-08-26,3851.57,3876.99,3876.99,3838.63
2021-08-27,3887.38,3864.11,3887.38,3844.49
2021-08-30,3928.5,3900.96,3928.5,3900.96
2021-08-31,3918.96,3934.1,3938.68,3904.72
2021-09-01,3971.02,3924.32,3972.68,3924.32
2021-09-02,3990.77,3983.68,3994.77,3968.06
2021-09-03,4001.7,3976.62,4001.7,3964.22
2021-09-06,4028.25,4004.61,4028.25,4003.49
2021-09-07,4010.16,4036.41,4043.51,4004.9
2021-09-08,4017.37,4015.35,4030.72,3984.64
2021-09-09,3993.56,4007.82,4009.66,3982.6
2021-09-10,4002.66,3993.53,4008.56,3987.53
2021-09-13,4041.16,4012.97,4041.83,4001.63
2021-09-14,4055.7,4051.81,4061.99,4037.23
2021-09-15,4065.53,4059.08,4081.98,4049.69
2021-09-16,4045.1,4069.19,4073.72,4028.08
2021-09-17,4035.17,4043.51,4054.38,4013.62
2021-09-20,3969.61,3988.45,3991.39,3955.19
2021-09-21,3970.48,3980.02,3994.56,3962.05
2021-09-22,4030.98,4001.79,4032.38,3999.82
2021-09-23,4052.14,4051.36,4058.15,4020.5
2021-09-24,4038.23,4055.37,4057.09,4017.2
2021-09-27,4081.22,4069.55,4083.61,4061.71
2021-09-28,4065.46,4109.66,4112.31,4050.95
2021-09-29,4058.37,4045.16,4076.61,4038.06
2021-09-30,4103.52,4079.46,4106.72,4064.5
2021-10-01,4086.99,4078.59,4104.78,4065.4
2021-10-04,4112.72,4106.89,4131.39,4100.85
2021-10-05,4223.85,4129.53,4225.16,4129.53
2021-10-06,4171.71,4263.87,4267.29,4163.62
2021-10-07,4228.02,4222.78,4239.14,4179.39
2021-10-08,4238.0,4233.58,4254.36,4216.72
2021-10-11,4279.87,4259.38,4284.53,4247.2
2021-10-12,4263.8,4259.03,4275.6,4250.03
2021-10-13,4243.92,4260.44,4260.44,4189.91
2021-10-14,4259.13,4280.76,4292.68,4259.13
2021-10-15,4261.82,4278.51,4282.15,4247.79
2021-10-18,4248.33,4254.91,4257.83,4225.42
